"It's Boba Time","10946 Weyburn Ave., Los Angeles, CA 90024",34.0624556,-118.4467879
"CoCo Fresh Tea & Juice","10912 Le Conte Ave, Los Angeles, CA 90024",34.063559,-118.4457305
"Coffee Bean & Tea Leaf","950 Westwood Blvd., Los Angeles, CA 90024",34.0627396,-118.4450414
"Espresso Profeta","1129 Glendon Ave., Los Angeles, CA 90024",34.0603134,-118.4441764
"Northern Cafe","10965 Weyburn Ave., Los Angeles, CA 90024",34.0624922,-118.4476723
"Nekter Juice Bar","10912 Lindbrook Dr, Los Angeles, CA 90024",34.059354,-118.44508
"Peet’s Coffee & Tea","1154 Westwood Blvd., Los Angeles, CA 90024",34.059833,-118.4445413
"Pressed Juicery","10878 Kinross Avenue, Los Angeles, CA 90024",34.060638,-118.4447422
"Starbucks Coffee Weyburn Ave","10955 Weyburn Ave, Los Angeles, CA 90024",34.062529,-118.447346
"Starbucks Coffee Westwood Blvd","1161 Westwood Blvd., Los Angeles, CA 90024",34.05944,-118.444752
"Lollicup Fresh","1131 Westwood Blvd, Los Angeles, CA 90024",34.070418,-118.4441451
"Ministry of Coffee Los Angeles","1010 Glendon Ave., Los Angeles, CA 90024",34.0619017,-118.44397
"Atrium at Center West","10877 Wilshire Blvd., Atrium level, Los Angeles, CA 90024",34.0594366,-118.4423609
"Sip Matcha","10967 Weyburn Ave., Los Angeles, CA 90024",34.0623696,-118.4476211
"Angeleno Smile","10921 Wilshire Blvd., Ste. 409, Los Angeles, CA 90024",34.0590012,-118.4449164
"ASK Dental Group","10921 Wilshire Blvd., Ste. 1008, Los Angeles, CA 90024",34.0589079,-118.4452941
"Glamorous Westwood Village Smiles","1033 Gayley Ave., Ste. 102, Los Angeles, CA 90024",34.0611887,-118.4477329
"Zakhor Dental Group","10921 Wilshire Blvd., Ste. 904, Los Angeles, CA 90024",34.0590006,-118.4449171
"360 Westwood Orthodontics","1033 Gayley Ave Ste. 106, Los Angeles, CA 90024",34.0526221,-118.4396837
"CorePower Yoga","1031 Glendon Ave., Los Angeles, CA 90024",34.0620328,-118.4443532
"Equinox","10960 Wilshire Blvd., Los Angeles, CA 90024",34.0579104,-118.4459256
"LA Fitness","10921 Wilshire Blvd., Los Angeles, CA 90024",34.0586,-118.4453412
"The Yoga Court","10956 1/2 Weyburn Ave., Los Angeles, CA 90024",34.0621425,-118.447203
"Lagree Fitness","1001 Gayley Ave #104, Los Angeles, CA 90024",34.0616316,-118.448026
"Westwood Healing Center","10921 Weyburn Ave., Los Angeles, CA 90024",34.0627179,-118.4462165
"The Farmacy","1035 Gayley Ave., Los Angeles, CA 90024",34.0610488,-118.4475553
"Daniel Acupuncture and Herbalism Westwood","1008 Broxton Ave, Los Angeles, CA 90024",34.0623001,-118.446691
"Bollywood Bites","1051 Gayley Ave., Los Angeles, CA 90024",34.061021,-118.447391
"D’Amore’s Pizza","1136 Westwood Blvd., Los Angeles, CA 90024",34.0601101,-118.4446838
"Enzo’s Pizzeria","10940 Weyburn Ave., Los Angeles, CA 90024",34.062382,-118.446583
"House of Meatballs","1076 Gayley Ave., Los Angeles, CA 90024",34.0608314,-118.4467591
"Italian Express","10845 Lindbrook Dr., Los Angeles, CA 90024",34.060316,-118.442658
"Lamonica’s NY Pizza","1066 Gayley Ave., Los Angeles, CA 90024",34.060902,-118.4468378
"Tanino Ristoronte Bar","1043 Westwood Blvd., Los Angeles, CA 90024",34.0616951,-118.44562
"Westwood Pizzeria","10974 Le Conte Ave., Los Angeles, CA 90024",34.0635015,-118.4477991
"Chipotle Mexican Grill","1077 Broxton Ave., Los Angeles, CA 90024",34.0610586,-118.4463143
"El Pollo Loco","1081 Gayley Ave., Los Angeles, CA 90024",34.060563,-118.4469783
"Frida Mexican Cuisine","10853 Lindbrook Dr., Los Angeles, CA 90024",34.0603218,-118.4426588
"Pinches Tacos Westwood","1030 Glendon Ave., Los Angeles, CA 90024",34.061563,-118.444109
"Taco Bell","10937 Weyburn Ave., Los Angeles, CA 90024",34.062735,-118.4467102
"TLT Food","1116 Westwood Blvd., Los Angeles, CA 90024",34.0603987,-118.4450372
"Tocaya Organica Westwood Village","1140 Gayley Ave., #101B, Los Angeles, CA 90024",34.0595171,-118.4456578
"UCLA Blood & Platelet Center","1045 Gayley Avenue, 2nd Floor, Los Angeles, CA 90024",34.0610898,-118.4474547
"University Vascular Associates","1082 Glendon Avenue, Los Angeles, CA 90024",34.0607229,-118.4442087
"Terasaki Research Institute","1018 Westwood Blvd, Los Angeles, CA 90024",34.0620176,-118.4449322
"Bella Pita","960 Gayley Ave., Los Angeles, CA 90024",34.0627929,-118.448087
"CAVA","1073 Broxton Ave., Los Angeles, CA 90024",34.0611357,-118.4462401
